userEmail,classTitle,status,notes
user50@reservafit.com,Boxeo sesión 088,confirmed,Primera vez en esta disciplina
user49@reservafit.com,Fuerza sesión 112,confirmed,
user27@reservafit.com,Yoga sesión 021,confirmed,Sin lesiones declaradas
user9@reservafit.com,HIIT sesión 008,confirmed,
user28@reservafit.com,Fuerza sesión 032,confirmed,
user34@reservafit.com,Yoga sesión 041,cancelled,Sin lesiones declaradas
user10@reservafit.com,Fuerza sesión 015,cancelled,Primera vez en esta disciplina
user7@reservafit.com,Fuerza sesión 015,cancelled,
user42@reservafit.com,Yoga sesión 063,confirmed,Prefiere esterilla cerca de la puerta
user47@reservafit.com,Spinning sesión 002,confirmed,Primera vez en esta disciplina
user33@reservafit.com,Fuerza sesión 015,confirmed,
user54@reservafit.com,Yoga sesión 109,confirmed,Sin lesiones declaradas
user31@reservafit.com,Fuerza sesión 057,confirmed,Sin lesiones declaradas
user2@reservafit.com,Boxeo sesión 098,cancelled,
user35@reservafit.com,Boxeo sesión 064,confirmed,
user59@reservafit.com,Pilates sesión 009,cancelled,Prefiere esterilla cerca de la puerta
user44@reservafit.com,Fuerza sesión 036,confirmed,Prefiere esterilla cerca de la puerta
user20@reservafit.com,Fuerza sesión 047,confirmed,
user39@reservafit.com,Fuerza sesión 036,confirmed,Prefiere esterilla cerca de la puerta
user55@reservafit.com,Yoga sesión 094,confirmed,
user59@reservafit.com,Spinning sesión 014,cancelled,Primera vez en esta disciplina
user23@reservafit.com,Yoga sesión 065,confirmed,Primera vez en esta disciplina
user4@reservafit.com,Yoga sesión 004,confirmed,Primera vez en esta disciplina
user3@reservafit.com,Spinning sesión 007,confirmed,Sin lesiones declaradas
user35@reservafit.com,Yoga sesión 062,cancelled,Primera vez en esta disciplina
user37@reservafit.com,Spinning sesión 013,confirmed,Prefiere esterilla cerca de la puerta
user57@reservafit.com,Fuerza sesión 110,confirmed,Sin lesiones declaradas
user2@reservafit.com,Yoga sesión 004,confirmed,Sin lesiones declaradas
user40@reservafit.com,Yoga sesión 082,cancelled,
user54@reservafit.com,Yoga sesión 082,confirmed,Primera vez en esta disciplina
user1@reservafit.com,Spinning sesión 007,cancelled,Prefiere esterilla cerca de la puerta
user22@reservafit.com,Spinning sesión 115,confirmed,Primera vez en esta disciplina
user19@reservafit.com,Spinning sesión 119,cancelled,Sin lesiones declaradas
user5@reservafit.com,HIIT sesión 039,confirmed,Prefiere esterilla cerca de la puerta
user37@reservafit.com,Pilates sesión 081,confirmed,Prefiere esterilla cerca de la puerta
user52@reservafit.com,Yoga sesión 118,confirmed,
user13@reservafit.com,Boxeo sesión 053,cancelled,
user1@reservafit.com,Spinning sesión 120,cancelled,
user7@reservafit.com,Yoga sesión 034,cancelled,Primera vez en esta disciplina
user43@reservafit.com,Spinning sesión 002,confirmed,Prefiere esterilla cerca de la puerta
user18@reservafit.com,Pilates sesión 009,cancelled,Prefiere esterilla cerca de la puerta
user27@reservafit.com,Yoga sesión 114,confirmed,
user1@reservafit.com,Spinning sesión 044,confirmed,Primera vez en esta disciplina
user31@reservafit.com,Yoga sesión 099,confirmed,Primera vez en esta disciplina
user19@reservafit.com,HIIT sesión 039,confirmed,Sin lesiones declaradas
user59@reservafit.com,Fuerza sesión 110,cancelled,
user34@reservafit.com,Yoga sesión 049,confirmed,
user28@reservafit.com,Yoga sesión 067,confirmed,Prefiere esterilla cerca de la puerta
user36@reservafit.com,HIIT sesión 097,confirmed,Primera vez en esta disciplina
user10@reservafit.com,Pilates sesión 100,confirmed,
user12@reservafit.com,Boxeo sesión 079,confirmed,
user59@reservafit.com,Spinning sesión 120,confirmed,
user19@reservafit.com,Fuerza sesión 027,confirmed,Primera vez en esta disciplina
user30@reservafit.com,HIIT sesión 097,confirmed,Sin lesiones declaradas
user16@reservafit.com,Boxeo sesión 010,confirmed,Primera vez en esta disciplina
user38@reservafit.com,Boxeo sesión 079,confirmed,
user26@reservafit.com,Boxeo sesión 064,confirmed,
user51@reservafit.com,Boxeo sesión 024,cancelled,Primera vez en esta disciplina
user18@reservafit.com,Yoga sesión 041,confirmed,Prefiere esterilla cerca de la puerta
user36@reservafit.com,Yoga sesión 003,confirmed,Prefiere esterilla cerca de la puerta
user44@reservafit.com,Pilates sesión 100,confirmed,Prefiere esterilla cerca de la puerta
user5@reservafit.com,HIIT sesión 097,confirmed,Sin lesiones declaradas
user57@reservafit.com,Fuerza sesión 047,confirmed,Primera vez en esta disciplina
user52@reservafit.com,HIIT sesión 031,cancelled,
user59@reservafit.com,Yoga sesión 118,confirmed,Primera vez en esta disciplina
user1@reservafit.com,Fuerza sesión 027,confirmed,Sin lesiones declaradas
user45@reservafit.com,HIIT sesión 008,cancelled,
user39@reservafit.com,Yoga sesión 118,confirmed,Primera vez en esta disciplina
